Statistics,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,
ore_ont_16626.owl,290,0,609,313,310,0,3,0,6,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_3455.owl,66,0,288,191,165,0,26,0,33,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_13885.owl,36,14,488,397,141,189,67,4,51,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_16274.owl,99,115,485,369,126,230,13,6,12,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_7003.owl,84,0,436,249,166,0,83,0,103,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_3205.owl,59,60,362,287,167,119,1,14,2,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL
ore_ont_11639.owl,284,0,567,283,283,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_16267.owl,121,163,660,479,172,249,58,0,62,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_6378.owl,329,0,666,337,337,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_11003.owl,130,0,407,257,243,0,14,2,19,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_16630.owl,30,152,374,290,98,183,8,16,39,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_10388.owl,98,1,463,282,224,1,57,9,74,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_11296.owl,28,42,363,286,164,102,20,11,39,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_16814.owl,28,42,364,287,163,102,22,11,39,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_304.owl,137,1,549,334,304,0,30,0,80,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_105.owl,295,0,642,347,347,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_12107.owl,36,0,465,352,251,0,101,0,78,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_178.owl,49,8,405,275,244,11,20,17,65,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_14327.owl,364,0,550,186,186,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_7394.owl,437,0,686,249,249,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_16197.owl,65,58,315,227,109,118,0,6,18,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_541.owl,60,0,353,255,207,0,48,0,40,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_12150.owl,127,131,445,291,140,132,19,0,28,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_10894.owl,148,109,568,411,169,237,5,6,4,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_9904.owl,47,1,344,246,196,2,48,1,51,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_9928.owl,167,0,671,500,166,333,1,0,4,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_5978.owl,167,0,671,500,166,333,1,0,4,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_1342.owl,58,12,410,279,242,20,17,15,59,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_10752.owl,99,0,237,138,138,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_6338.owl,99,9,519,299,196,5,98,0,121,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_7073.owl,97,0,499,288,192,0,96,0,114,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_10362.owl,111,2,474,309,255,4,50,0,55,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_7789.owl,49,122,538,437,130,290,17,17,36,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_13064.owl,41,0,441,331,325,0,6,37,33,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_1988.owl,115,94,428,310,100,210,0,0,3,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_16010.owl,214,0,431,217,217,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_3281.owl,127,83,563,420,189,219,12,6,11,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_7525.owl,98,0,534,373,263,0,110,3,60,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_11004.owl,29,54,518,405,267,109,29,37,47,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_10340.owl,105,2,543,313,208,1,104,0,125,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_12007.owl,294,0,620,326,326,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_3258.owl,325,0,749,399,362,0,37,0,26,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_11125.owl,59,0,496,320,298,0,22,75,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_4767.owl,335,0,687,347,344,0,3,0,5,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_2753.owl,249,0,617,366,366,0,0,0,2,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_14816.owl,111,6,578,335,220,5,110,0,132,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_10199.owl,36,84,419,336,120,180,36,0,47,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_7800.owl,36,84,419,336,120,180,36,0,47,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_10769.owl,91,0,471,270,180,0,90,0,110,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_3053.owl,87,85,524,396,203,192,1,20,21,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_13053.owl,394,0,794,399,399,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_11010.owl,256,0,630,372,372,0,0,0,2,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_13077.owl,96,30,544,339,158,106,75,19,90,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_10285.owl,135,30,572,362,142,102,118,7,69,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_8166.owl,46,0,446,325,291,0,34,24,52,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_5404.owl,134,0,708,444,196,0,248,0,133,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL
ore_ont_6495.owl,37,0,463,356,234,0,122,0,70,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_11203.owl,59,48,562,334,94,103,137,0,170,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_14517.owl,107,18,568,336,212,18,106,0,125,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_14379.owl,80,45,465,342,200,140,2,23,21,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_15737.owl,111,4,574,332,220,2,110,0,131,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_15672.owl,83,16,402,284,206,49,29,0,36,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_11401.owl,145,0,625,422,323,0,99,3,55,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_7576.owl,389,0,812,422,422,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_185.owl,83,14,401,283,208,47,28,0,36,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_13066.owl,116,12,609,355,230,10,115,0,138,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_2229.owl,128,0,447,319,319,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_8949.owl,113,0,582,336,224,0,112,0,133,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_778.owl,123,10,382,249,232,12,5,0,11,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_11533.owl,35,25,480,379,195,173,11,43,24,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_5679.owl,129,0,449,320,320,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_9557.owl,28,53,406,328,180,129,19,10,41,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_10805.owl,122,9,635,368,242,5,121,0,145,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_15882.owl,334,0,667,333,333,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_6796.owl,252,0,527,275,275,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_11592.owl,170,81,625,434,167,256,11,8,14,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_14325.owl,136,0,490,351,350,0,1,0,3,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_16670.owl,49,56,528,411,221,179,11,45,24,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_10355.owl,8,30,521,337,156,29,152,0,177,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_10833.owl,112,18,595,348,222,15,111,0,135,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_10580.owl,133,0,695,531,235,273,23,0,31,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_6859.owl,170,81,625,434,167,256,11,8,14,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_1866.owl,49,56,526,410,221,178,11,44,24,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_14518.owl,130,0,480,347,346,0,1,0,3,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_6246.owl,76,0,471,325,255,0,70,0,70,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_2662.owl,142,0,473,331,331,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_2228.owl,82,0,700,356,356,0,0,7,255,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_16268.owl,411,0,612,199,199,0,0,0,2,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_9689.owl,69,0,566,400,384,0,16,41,57,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_10516.owl,294,0,771,462,450,0,12,0,15,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_3263.owl,170,0,513,336,336,0,0,0,7,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_12824.owl,16,0,535,404,347,0,57,49,67,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_14348.owl,198,49,628,399,268,93,38,0,32,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_3770.owl,112,36,615,369,222,36,111,0,134,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_338.owl,78,0,418,198,198,0,0,2,140,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_6589.owl,72,61,667,482,320,62,100,3,111,0,OWL2_DL - OWL2_QL - OWL2_RL - OWL2_FULL,OWL2_DL
ore_ont_7890.owl,268,0,831,564,564,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_9204.owl,128,21,680,400,254,19,127,0,152,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_13301.owl,437,0,873,436,436,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_15068.owl,213,166,590,377,211,166,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_13129.owl,40,24,452,366,164,166,34,37,10,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_13740.owl,186,0,593,380,342,0,38,0,27,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_4035.owl,131,0,752,619,235,382,2,0,2,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_8119.owl,86,1,548,363,355,1,7,39,61,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_16777.owl,134,4,693,402,266,3,133,0,157,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_16033.owl,156,269,530,374,105,269,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_5074.owl,156,269,530,374,105,269,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_13799.owl,46,45,406,349,235,109,5,2,10,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_10681.owl,36,56,554,449,140,298,11,46,24,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_5665.owl,417,0,823,404,404,0,0,0,2,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_11149.owl,104,0,700,489,449,0,40,74,33,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_7901.owl,104,0,700,489,449,0,40,74,33,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_12323.owl,83,56,598,447,257,178,12,44,25,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_5263.owl,130,10,677,392,258,5,129,0,155,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_14800.owl,83,56,598,447,257,178,12,44,25,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_3418.owl,453,0,984,528,527,0,1,0,3,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_10056.owl,430,0,898,467,467,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_1430.owl,46,93,565,483,178,305,0,17,19,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_7373.owl,433,0,958,523,521,0,2,0,2,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_7663.owl,305,3,1019,714,297,417,0,0,0,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL
ore_ont_11526.owl,137,19,727,429,272,21,136,0,161,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_8369.owl,127,21,671,393,252,15,126,0,151,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_16535.owl,93,25,476,350,260,63,27,0,34,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_3292.owl,142,6,732,426,282,3,141,0,164,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_9088.owl,195,2,668,369,211,16,142,7,97,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL
ore_ont_11392.owl,122,123,625,501,131,369,1,0,4,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_430.owl,124,48,690,420,246,51,123,0,146,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_14175.owl,100,190,658,463,269,181,13,0,97,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_4382.owl,358,0,791,431,430,0,1,0,2,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_1898.owl,34,56,625,522,195,316,11,46,24,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_14341.owl,178,42,715,465,233,126,106,0,73,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL
ore_ont_5932.owl,200,105,719,492,191,279,22,0,29,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_12415.owl,8,71,628,420,180,64,176,0,201,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_2237.owl,131,31,703,418,260,28,130,0,154,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_4133.owl,290,50,757,456,345,110,1,0,12,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_13872.owl,159,48,813,522,207,112,203,0,133,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_85.owl,32,56,654,554,246,297,11,45,24,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_13234.owl,539,0,1094,555,555,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_6368.owl,370,0,739,369,369,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_1034.owl,138,28,738,439,274,28,137,0,161,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_15103.owl,34,56,605,503,195,297,11,45,24,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_16730.owl,512,0,1079,567,567,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_3884.owl,183,91,681,460,236,211,13,0,40,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_6981.owl,228,0,765,459,364,0,95,6,73,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_13704.owl,17,46,358,301,116,183,2,15,26,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_13833.owl,311,0,1071,757,347,410,0,0,3,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_15514.owl,194,50,613,393,247,132,14,0,27,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_2066.owl,339,49,822,471,387,84,0,0,12,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_9695.owl,418,0,667,244,244,0,0,0,5,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_5604.owl,322,0,825,486,479,0,7,6,11,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_1823.owl,55,157,842,638,176,316,146,97,53,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_13584.owl,118,117,1061,825,257,393,175,23,96,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_3780.owl,648,0,1308,659,659,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_13097.owl,159,6,820,478,316,4,158,0,183,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_15291.owl,224,66,868,569,270,180,119,9,67,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_5204.owl,71,88,481,364,163,163,38,3,43,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_8578.owl,224,66,868,569,270,180,119,9,67,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_8462.owl,140,12,730,425,278,8,139,0,165,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_10009.owl,36,56,635,530,221,298,11,46,24,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_568.owl,254,158,829,535,333,200,2,0,42,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_15058.owl,27,48,552,447,272,105,70,38,41,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_12253.owl,75,15,571,410,322,16,72,1,86,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_4719.owl,104,160,805,593,347,194,52,56,53,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_3022.owl,36,56,635,530,221,298,11,46,24,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_2678.owl,36,56,635,530,221,298,11,46,24,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_12369.owl,36,56,634,530,221,298,11,46,23,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_16501.owl,193,0,747,551,548,0,3,0,3,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_703.owl,505,0,1042,536,535,0,1,0,1,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_5509.owl,311,417,1029,718,301,417,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_12379.owl,193,0,749,551,548,0,3,0,5,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_165.owl,176,0,562,358,320,0,38,0,28,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_6889.owl,500,0,999,499,499,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_16321.owl,41,30,606,496,333,158,5,37,33,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_11371.owl,118,0,710,478,424,0,54,2,113,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_5184.owl,162,15,705,487,341,93,53,0,57,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_7988.owl,41,49,663,553,333,215,5,37,33,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_3832.owl,564,0,1197,633,633,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_15010.owl,178,0,706,519,339,180,0,0,9,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_12112.owl,50,62,452,340,208,121,11,43,20,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_16188.owl,166,41,885,529,330,34,165,0,190,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_8781.owl,151,10,732,476,453,16,7,11,95,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_13398.owl,136,0,947,808,413,392,3,0,3,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_7011.owl,244,180,859,602,403,190,9,1,13,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_13772.owl,159,40,858,518,316,44,158,0,181,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_6417.owl,149,46,820,497,296,53,148,0,174,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_13100.owl,591,0,1232,641,641,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_10431.owl,361,0,750,386,385,0,1,0,3,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_7179.owl,84,57,588,422,226,123,73,19,66,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_4918.owl,594,0,1285,689,688,0,1,0,2,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_16166.owl,503,0,1140,572,529,0,43,0,67,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_5966.owl,271,44,646,369,325,44,0,0,7,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_8189.owl,627,0,1264,636,635,0,1,0,1,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_15596.owl,224,82,951,651,270,262,119,10,67,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_7894.owl,253,0,1242,987,368,619,0,0,2,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_1793.owl,497,0,1161,597,554,0,43,4,64,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_231.owl,168,32,884,524,334,23,167,0,192,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_8975.owl,224,82,951,651,270,262,119,10,67,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_10571.owl,224,82,951,651,270,262,119,10,67,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_14185.owl,340,482,1152,812,330,482,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL
ore_ont_7730.owl,90,75,657,479,334,76,69,10,79,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_15231.owl,142,0,1057,913,375,537,1,0,2,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_9690.owl,85,204,875,691,228,448,15,29,71,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_8362.owl,26,100,713,627,170,445,12,23,38,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_12566.owl,170,75,904,605,463,108,34,24,106,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_2303.owl,142,0,1061,917,379,537,1,0,2,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_13805.owl,75,161,674,587,163,416,8,1,12,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_1494.owl,644,0,1305,659,658,0,1,0,2,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL
ore_ont_4668.owl,260,0,452,189,186,0,3,0,3,0,OWL2_DL - OWL2_FULL,OWL2_DL
ore_ont_7820.owl,56,16,669,541,365,110,66,5,68,0,OWL2_DL - OWL2_FULL,OWL2_DL
